,vocab
2275,書
2276,曹
2277,曺
2278,曼
2279,曽
2280,曾
2281,替
2282,最
2283,會
2284,月
2285,有
2286,朋
2287,服
2288,朔
2289,朗
2290,望
2291,朝
2292,期
2293,朧
2294,木
2295,未
2296,末
2297,本
2298,札
2299,术
2300,朱
2301,朴
2302,机
2303,朽
2304,杉
2305,李
2306,杏
2307,材
2308,村
2309,杓
2310,杖
2311,杜
2312,束
2313,条
2314,来
2315,杨
2316,杭
2317,杯
2318,杰
2319,東
2320,松
2321,板
2322,析
2323,枕
2324,林
2325,枚
2326,果
2327,枝
2328,枯
2329,架
2330,柄
2331,柊
2332,柏
2333,某
2334,染
2335,柔
2336,柚
2337,柱
2338,柳
2339,柴
2340,査
2341,柿
2342,栄
2343,栖
2344,栗
2345,栞
2346,校
2347,栢
2348,株
2349,样
2350,核
2351,根
2352,格
2353,桂
2354,桃
2355,案
2356,桐
2357,桑
2358,桓
2359,桜
2360,桥
2361,梁
2362,梅
2363,梓
2364,條
2365,梦
2366,梧
2367,梨
2368,械
2369,梵
2370,梶
2371,棄
2372,棋
2373,棒
2374,棘
2375,棚
2376,棟
2377,森
2378,棲
2379,棺
2380,植
2381,椎
2382,検
2383,椿
2384,楊
2385,楓
2386,楚
2387,楠
2388,業
2389,極
2390,楼
2391,楽
2392,榊
2393,榜
2394,榮
2395,槃
2396,構
2397,槌
2398,槍
2399,槐
2400,様
2401,槻
2402,樂
2403,樊
2404,樋
2405,樓
2406,標
2407,樞
2408,模
2409,樣
2410,権
2411,横
2412,樹
2413,橋
2414,橘
2415,橙
2416,機
2417,橫
2418,檀
2419,檎
2420,檜
2421,檢
2422,櫓
2423,櫻
2424,欅
2425,權
2426,欠
2427,次
2428,欢
2429,欣
2430,欧
2431,欲
2432,欺
2433,欽
2434,歌
2435,歐
2436,歓
2437,歡
2438,止
2439,正
2440,此
2441,步
2442,武
2443,歩
2444,歪
2445,歯
2446,歲
2447,歳
2448,歴
2449,歷
2450,歸
2451,歹
2452,死
2453,殊
2454,残
2455,殖
2456,殘
2457,段
2458,殷
2459,殺
2460,殿
2461,毅
2462,毋
2463,母
2464,毎
2465,每
2466,毒
2467,比
2468,毘
2469,毛
2470,氏
2471,民
2472,气
2473,気
2474,氣
2475,水
2476,氷
2477,永
2478,汀
2479,汁
2480,求
2481,汉
2482,汐
2483,汗
2484,汚
2485,汝
2486,江
2487,池
2488,汪
2489,汰
2490,決
2491,汽
2492,沃
2493,沈
2494,沌
2495,沒
2496,沖
